First Name	Last Name	Position	College	Rank	Proj Round	Height	Weight	Arm	Hand	10-Yard	20-Yard	40-yard	Vert	Broad	Shuttle	3-cone	Score	Key	HeightStd	WeightStd	ArmStd	HandStd	10-YardStd	20-YardStd	40-yardStd	VertStd	BroadStd	ShuttleStd	3-coneStd
*Trevor	Lawrence	QB	Clemson	1	1	77.625	213	31.5	10								0.77	-0.09	1.40	-0.94	-0.55	0.86							
*Justin	Fields	QB	Ohio State	3	1	74.75	227	32.5	9.125	1.59	2.6	4.46					4.32	-0.30	-0.57	0.12	0.15	-0.51	1.33	1.92	1.88				
*Zach	Wilson	QB	Brigham Young	4	1	74.125	214	30.625	9.5								-2.95	-3.03	-1.00	-0.87	-1.16	0.08							
*Mac	Jones	QB	Alabama	11	1	74.625	217	32.625	9.75	1.7	2.76	4.83	32	116	4.39	7.04	2.54	-1.59	-0.65	-0.64	0.23	0.47	0.11	0.69	0.33	0.52	1.26	-0.53	0.75
*Trey	Lance	QB	North Dakota State	12	1	75.875	224	31.5	9.125								-0.97	-0.46	0.20	-0.11	-0.55	-0.51							
Kyle	Trask	QB	Florida	82	2-3	77.25	236	33	10.125	1.7	2.96	5.08	31.5	113	4.38	7.08	3.10	1.97	1.14	0.80	0.50	1.05	0.11	-0.85	-0.71	0.37	0.73	-0.47	0.42
*Davis	Mills	QB	Stanford	123	3-4	75.75	217	31.375	9.5	1.74	2.8	4.82	32	110	4.4	6.95	0.98	-1.76	0.12	-0.64	-0.64	0.08	-0.33	0.38	0.37	0.52	0.21	-0.60	1.50
Kellen	Mond	QB	Texas AM	154	4-5	74.625	211	33.5	9.375	1.64	2.69	4.62					2.20	-0.90	-0.65	-1.09	0.85	-0.12	0.78	1.23	1.21				
Sam	Ehlinger	QB	Texas	191	5-6	73.125	220	30.375	9.75	1.71	2.68	4.84	36.5	114	4.44	7.15	0.46	-4.30	-1.68	-0.41	-1.34	0.47	0.00	1.31	0.29	1.95	0.91	-0.87	-0.17
Jamie	Newman	QB	Wake Forest	202	5-6	74.875	234	30.5	9.75								-0.62	-1.09	-0.48	0.65	-1.25	0.47							
Ian	Book	QB	Notre Dame	220	6	72	211	31.25	9.875	1.71	2.65	4.65	32.5	115	4.2	7	2.59	-3.54	-2.45	-1.09	-0.73	0.66	0.00	1.54	1.08	0.68	1.08	0.73	1.08
Feleipe	Franks	QB	Arkansas	242	7	78.625	234	34	10	1.7	2.63	4.61	32.5	117	4.22	7.16	10.30	4.53	2.09	0.65	1.20	0.86	0.11	1.69	1.25	0.68	1.43	0.60	-0.25
Brady	White	QB	Memphis	270	7-UDFA	73	210	31.5	10.125	1.7	2.74	4.84	29		4.33	6.97	-0.41	-3.62	-1.77	-1.17	-0.55	1.05	0.11	0.85	0.29	-0.43		-0.13	1.33
Shane	Buechele	QB	Southern Methodist	279	7-UDFA	72.25	210	30.25	9.375	1.74	2.86	4.96	30	114	4.6	7.34	-8.50	-6.81	-2.28	-1.17	-1.43	-0.12	-0.33	-0.08	-0.21	-0.11	0.91	-1.93	-1.75
Peyton	Ramsey	QB	Northwestern	287	7-UDFA	73.875	215	31.75	9	1.69	1.81	4.77	28	108	4.41	7.28	2.96	-3.00	-1.17	-0.79	-0.38	-0.70	0.22	8.00	0.58	-0.75	-0.14	-0.67	-1.25
Zach	Smith	QB	Tulsa	305	7-UDFA	75.375	222	32.375	9.375	1.75	3.02	5.23	29.5	111	4.52	7.26	-5.91	-1.74	-0.14	-0.26	0.06	-0.12	-0.44	-1.31	-1.33	-0.27	0.38	-1.40	-1.08
K.J.	Costello	QB	Mississippi State	310	7-UDFA	76.5	225	32.875	10.125	1.84	3	5.11	27.5	103	4.75		-6.22	-1.93	0.63	-0.03	0.41	1.05	-1.44	-1.15	-0.83	-0.90	-1.01	-2.93	
Zac	Thomas	QB	Appalachian State	367		72.625	205	31.5	8.75	1.64	2.65	4.59	30	115	4.35	7.08	-0.45	-4.39	-2.02	-1.55	-0.55	-1.09	0.78	1.54	1.33	-0.11	1.08	-0.27	0.42
Kevin	Thomson	QB	Washington	407		72.5	198	32	9.75	1.65	2.72	4.73	35.5	126	4.23	6.99	4.83	-3.86	-2.11	-2.08	-0.20	0.47	0.67	1.00	0.75	1.63	3.00	0.53	1.17
Brady	Davis	QB	Illinois State	429		74.375	206	32	10.375	1.65	2.68	4.79	31	114	4.46	7.25	0.53	-3.50	-0.83	-1.47	-0.20	1.45	0.67	1.31	0.50	0.21	0.91	-1.00	-1.00
David	Moore	QB	Central Michigan	470		72.625	200	33	9.375	1.7	2.75	4.86	29.5	114	4.75	7.62	-8.86	-6.39	-2.02	-1.93	0.50	-0.12	0.11	0.77	0.21	-0.27	0.91	-2.93	-4.08
Noah	Johnson	QB	South Florida	489		70.375	198	32.125	9.125	1.59	2.69	4.7	33.5	123	4.39	7.18	-0.30	-6.29	-3.57	-2.08	-0.12	-0.51	1.33	1.23	0.88	1.00	2.48	-0.53	-0.42
